Ano;Distrito;Inscritos;Votantes;Brancos;Nulos;Partido;Votos;Mandatos;Percentual;Abstenção;Inscritos_totais;abstenção_totais;Sondagem;Cor
Histórico;Madeira;255796,0;123386,0;1642,0;3586,0;PS;28342,0;2,0;0,2297;0,4972;10850615;0,44;0,0;#F1515E
Histórico;Madeira;255796,0;123386,0;1642,0;3586,0;CH;17057,0;1,0;0,1382;0,4972;10850615;0,44;0,0;#202056
Histórico;Madeira;255796,0;123386,0;1642,0;3586,0;JPP;9162,0;0,0;0,07429999999999999;0,4972;10850615;0,44;0,0;#009285
Histórico;Madeira;255796,0;123386,0;1642,0;3586,0;Outros;6216,0;0,0;0,0504;0,4972;10850615;0,44;0,0;#ebedf0
Histórico;Madeira;255796,0;123386,0;1642,0;3586,0;IL;5772,0;0,0;0,046799999999999994;0,4972;10850615;0,44;0,0;#00AEEF
Histórico;Madeira;255796,0;123386,0;1642,0;3586,0;BE;5729,0;0,0;0,0464;0,4972;10850615;0,44;0,0;#AB1983
Histórico;Madeira;255796,0;123386,0;1642,0;3586,0;CDU;4310,0;0,0;0,0349;0,4972;10850615;0,44;0,0;#950B0B
Histórico;Madeira;255796,0;123386,0;1642,0;3586,0;PAN;2902,0;0,0;0,0235;0,4972;10850615;0,44;0,0;#01796F
Histórico;Madeira;255796,0;123386,0;1642,0;3586,0;L;2415,0;0,0;0,0196;0,4972;10850615;0,44;0,0;#00AB39
Histórico;Portalegre;92543,0;55215,0;1536,0;996,0;PS;19075,0;1,0;0,3455;0,376;10850615;0,44;0,0;#F1515E
Histórico;Portalegre;92543,0;55215,0;1536,0;996,0;AD;11740,0;1,0;0,2126;0,376;10850615;0,44;0,0;#FF890C
Histórico;Portalegre;92543,0;55215,0;1536,0;996,0;CH;9411,0;0,0;0,1704;0,376;10850615;0,44;0,0;#202056
Histórico;Portalegre;92543,0;55215,0;1536,0;996,0;CDU;7830,0;0,0;0,1418;0,376;10850615;0,44;0,0;#950B0B
Histórico;Portalegre;92543,0;55215,0;1536,0;996,0;BE;2965,0;0,0;0,0537;0,376;10850615;0,44;0,0;#AB1983
Histórico;Portalegre;92543,0;55215,0;1536,0;996,0;Outros;1349,0;0,0;0,024399999999999998;0,376;10850615;0,44;0,0;#ebedf0
Histórico;Portalegre;92543,0;55215,0;1536,0;996,0;IL;1329,0;0,0;0,0241;0,376;10850615;0,44;0,0;#00AEEF
Histórico;Portalegre;92543,0;55215,0;1536,0;996,0;PAN;773,0;0,0;0,013999999999999999;0,376;10850615;0,44;0,0;#01796F
Histórico;Portalegre;92543,0;55215,0;1536,0;996,0;L;743,0;0,0;0,0134;0,376;10850615;0,44;0,0;#00AB39
Histórico;Santarém;377452,0;237896,0;6999,0;3997,0;PS;70254,0;3,0;0,2953;0,3406;10850615;0,44;0,0;#F1515E
Histórico;Santarém;377452,0;237896,0;6999,0;3997,0;AD;64542,0;3,0;0,2713;0,3406;10850615;0,44;0,0;#FF890C
Histórico;Santarém;377452,0;237896,0;6999,0;3997,0;CH;39326,0;2,0;0,1653;0,3406;10850615;0,44;0,0;#202056
Histórico;Santarém;377452,0;237896,0;6999,0;3997,0;CDU;20160,0;1,0;0,08470000000000001;0,3406;10850615;0,44;0,0;#950B0B
Histórico;Santarém;377452,0;237896,0;6999,0;3997,0;BE;16028,0;0,0;0,0674;0,3406;10850615;0,44;0,0;#AB1983
Histórico;Santarém;377452,0;237896,0;6999,0;3997,0;IL;10904,0;0,0;0,0458;0,3406;10850615;0,44;0,0;#00AEEF
Histórico;Santarém;377452,0;237896,0;6999,0;3997,0;Outros;6863,0;0,0;0,0288;0,3406;10850615;0,44;0,0;#ebedf0
Histórico;Santarém;377452,0;237896,0;6999,0;3997,0;L;5441,0;0,0;0,0229;0,3406;10850615;0,44;0,0;#00AB39
Histórico;Santarém;377452,0;237896,0;6999,0;3997,0;PAN;4380,0;0,0;0,0184;0,3406;10850615;0,44;0,0;#01796F
Histórico;Setúbal;754775,0;488235,0;10866,0;6145,0;PS;144274,0;7,0;0,2955;0,3306;10850615;0,44;0,0;#F1515E
Histórico;Setúbal;754775,0;488235,0;10866,0;6145,0;CH;84033,0;4,0;0,1721;0,3306;10850615;0,44;0,0;#202056
Histórico;Setúbal;754775,0;488235,0;10866,0;6145,0;CDU;80727,0;3,0;0,1653;0,3306;10850615;0,44;0,0;#950B0B
Histórico;Setúbal;754775,0;488235,0;10866,0;6145,0;AD;79249,0;3,0;0,1623;0,3306;10850615;0,44;0,0;#FF890C
Histórico;Setúbal;754775,0;488235,0;10866,0;6145,0;BE;42582,0;2,0;0,0872;0,3306;10850615;0,44;0,0;#AB1983
Histórico;Setúbal;754775,0;488235,0;10866,0;6145,0;Outros;15963,0;0,0;0,0327;0,3306;10850615;0,44;0,0;#ebedf0
Histórico;Setúbal;754775,0;488235,0;10866,0;6145,0;IL;14919,0;0,0;0,030600000000000002;0,3306;10850615;0,44;0,0;#00AEEF
Histórico;Setúbal;754775,0;488235,0;10866,0;6145,0;L;13440,0;0,0;0,0275;0,3306;10850615;0,44;0,0;#00AB39
Histórico;Setúbal;754775,0;488235,0;10866,0;6145,0;PAN;10221,0;0,0;0,0209;0,3306;10850615;0,44;0,0;#01796F
Histórico;Setúbal;754775,0;488235,0;10866,0;6145,0;JPP;2827,0;0,0;0,0058;0,3306;10850615;0,44;0,0;#009285
